,OpportunityID,OpportunityTitle,OpportunityNumber,OpportunityCategory,FundingInstrumentType,CategoryOfFundingActivity,CategoryExplanation,CFDANumbers,EligibleApplicants,AdditionalInformationOnEligibility,AgencyCode,AgencyName,PostDate,CloseDate,LastUpdatedDate,AwardCeiling,AwardFloor,EstimatedTotalProgramFunding,ExpectedNumberOfAwards,Description,Version,CostSharingOrMatchingRequirement,ArchiveDate,GrantorContactEmail,GrantorContactEmailDescription,GrantorContactText,AdditionalInformationURL,AdditionalInformationText,CloseDateExplanation,OpportunityCategoryExplanation,EstimatedSynopsisPostDate,FiscalYear,EstimatedSynopsisCloseDate,EstimatedSynopsisCloseDateExplanation,EstimatedAwardDate,EstimatedProjectStartDate,GrantorContactName,GrantorContactPhoneNumber
0,264229,Notice of Intent (NOI) Building Energy Efficiency Frontiers and Innovations (BENEFIT) 2015,DE-FOA-0001180,D,O,EN,,81.087,99.0,,DOE-GFO,Golden Field Office,9052014,1122022.0,1112022,1.0,0.0,0.0,0.0,"The BENEFIT 2015 Funding Opportunity Announcement (FOA) seeks to fund next-generation non-vapor compression HVAC technologies (Innovations) and improvements to existing advanced vapor compression HVAC technologies (Frontiers) that complement the core funding provided to the National Laboratories and allow all interested parties, including corporations, universities, and non-profits as well as the National Laboratories, to contribute to advancement in these technological areas. These topics are combined into this single, relatively large FOA in order to reduce administrative costs and to ensure that only the best applications are supported. NO APPLICATIONS WILL BE ACCEPTED THROUGH THIS NOTICE. Please do not submit questions or respond to this Notice of Intent. Prospective applicants to the FOA should begin developing partnerships, formulating ideas, and gathering data in anticipation of the issuance of the FOA.",Synopsis 2,No,1132022.0,ryan.mccleary@ee.doe.gov,Click to email contact,Ryan N. McCleary 720-356-1693&lt;br/&gt;ryan.mccleary@ee.doe.gov&lt;br/&gt; Ryan N. McCleary 720-356-1693&lt;br/&gt;ryan.mccleary@ee.doe.gov,https://eere-exchange.energy.gov,https://eere-exchange.energy.gov,,,,,,,,,,
1,275142,"Decision, Risk and Management Sciences",PD-98-1321,D,G,ST,,47.075,99.0,,NSF,National Science Foundation,3132015,8182022.0,2022022,,,,,"The Decision, Risk and Management Sciences program (DRMS) supports scientific research directed at increasing the understanding and effectiveness of decision making by individuals, groups, organizations, and society. DRMS supports research with solid foundations in theories and methods of the social and behavioral sciences. This social and behavioral research advances knowledge, addresses fundamental scientific and societal issues, and has strong broader impacts. DRMS funds disciplinary and interdisciplinary research, doctoral dissertation research improvement grants (DDRIGs), and conferences in the areas of judgment and decision making; decision analysis and decision aids; risk analysis, perception, and communication; societal and public policy decision making; management science and organizational design. The program also supports projects with severe urgency with regard to availability of, or access to, data, facilities or specialized equipment, including quick-response research on natural or anthropogenic disasters, or other unanticipated events (Rapid Response Research &#8211; RAPID). The program also supports proof-of-concept, high-risk, projects that are potentially transformational (Early Concept Grants for Exploratory Research &#8211; EAGER). For detailed information concerning these two types of grants, please review Chapter II.E of the NSF PAPPG. Funded research must be grounded in theory and generalizable. Purely algorithmic management science proposals should be submitted to the Operations Engineering (OE) Program rather than to DRMS. General Guidanceconcerning the DRMSDoctoral Dissertation Research Improvement Grants (DDRIGs) funding opportunity includes the following: To assure that the proposal is appropriate for DRMS, the advisor of the doctoral student is strongly encouraged to contact one of the DRMS Program Directors by email prior to the preparation of the DDRIG proposal. DRMS DDRIG awards have a recommended maximum duration of 12 months. The proposal title should start with &#8220;DDRIG in DRMS:&#8221;. On the FastLane Cover Sheet, the advisor should be listed as the Principal Investigator (PI) and the doctoral dissertation student as the Co-PI. DDRIG awards are designed to cover expenses such as travel to the research site, special equipment, and participation fees. DRMS does not provide general stipends, tuition,or cost-of-living support for DDRIG awards. Your DDRIG proposal&apos;s project description should be essentially a research design(statement of the research problem, literature review, hypotheses, research site, data to be collected, methods of analysis, and schedule). Outstanding DDRIG proposals specify how the knowledge to be created advances our theoretical understanding of the subject. For additional funding opportunities, we invite you to also look at the SBE Office of Multidisciplinary Activities (SMA) web site.",Synopsis 24,No,2162024.0,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5423,NSF Program Desccription PD-98-1321,"January 18, Annually Thereafter; August 18,  Annually Thereafter; January 2020, Annually Thereafter",,,,,,,,,
2,275148,Physical Oceanography,PD-98-1610,D,G,ST,,47.05,99.0,,NSF,National Science Foundation,3132015,8152022.0,3032022,,250000.0,10000000.0,,"The Physical Oceanography Program supports research on a wide range of topics associated with the structure and movement of the ocean, with the way in which it transports various quantities, with the way the ocean&apos;s physical structure interacts with the biological and chemical processes within it, and with interactions between the ocean and the atmosphere, solid earth and ice that surround it.",Synopsis 20,No,9142025.0,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=12729,NSF Program Desccription PD-98-1610,,,,,,,,,,
3,275150,Chemical Oceanography,PD-98-1670,D,G,ST,,47.05,99.0,,NSF,National Science Foundation,3132015,8152022.0,3032022,2000000.0,200000.0,26000000.0,20.0,"TheChemical OceanographyProgram supports research into the chemistry of the oceans and the role of the oceans in global geochemical cycles. Areas of interest include chemical composition, speciation, and transformation; chemical exchanges between the oceans and other components of the Earth system; internal cycling in oceans, seas, and estuaries; and the use of measured chemical distributions as indicators of physical, biological, and geological processes.",Synopsis 18,No,9142022.0,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=11698,NSF Program Desccription PD-98-1670,,,,,,,,,,
4,275897,Cognitive Neuroscience,PD-15-1699,D,G,ST,,47.075,99.0,,NSF,National Science Foundation,4152015,8152022.0,2202022,,,8000000.0,25.0,"The National Science Foundation announces the area of Cognitive Neuroscience within the Division of Behavioral and Cognitive Sciences in the Directorate for Social, Behavioral, and Economic Sciences. INTRODUCTION Cognitive neuroscience is an interdisciplinary field of research to understand the neural basis of human cognition. The cognitive neuroscience program therefore seeks to fund highly innovative proposals that employ brain-based measurements in order to advance our understanding of the neural systems that mediate cognitive processes. Human cognitive science encompasses a wide range of topics, including attention, learning, memory, decision-making, language, social cognition, and emotions.Proposals will be considered that investigate a particular cognitive process using human brain data. PROGRAM DESCRIPTION New frontiers in cognitive neuroscience research have emerged from investigations that integrate data at different spatial and temporal scales. A wide range of neuroimaging techniques are employed by cognitive neuroscientists for measuring or inferring neural activity, as well as techniques for determining neuroanatomical structure-function relationships (e.g., fMRI, EEG, MEG, TMS).Electrocorticography (ECoG) and experimental interventions in human neural function, including stimulation and manipulation techniques combined with neuroimaging, have advanced the field. Additional recent methodological advances include machine-learning and multivariate analysis methods, resting-state and task-based connectomics and large-scale data analysis used to investigate and infer functional mechanisms, as well as multimodal neuroimaging and model-based approaches, wherein computational cognitive models may directly inform neuroimaging results. The Cognitive Neuroscience Program seeks highly innovative proposals aimed at advancing a rigorous understanding of the neural mechanisms of human cognition. Central research topics for consideration by the program include attention, learning, memory, decision-making, language, social cognition, and emotions. Proposals with animal models are appropriate only if they include a comparative element with human subjects. Proposals focused on behavioral, clinical or molecular mechanisms will not be considered for this program. Additionally, proposals directed at understanding low-level sensorimotor processes or restricted to model-based simulations of neural data will not be considered, unless they are embedded in a cognitive question related to one of the central research topics listed above. Investigators are highly encouraged to contact the program director before submitting a proposal regarding the appropriateness of their project for the Cognitive Neuroscience Program. Please include a one-page summary with an overview of your research and statements of intellectual merit and broader impacts, the two NSF review criteria. See the Merit Review FactSheet for more important facts about the NSF merit review process. Currently, the average award size is ~$175K per year (including both direct and indirect costs) and the average duration is 3 years. See the Listing ofActive Cognitive Neuroscience Awardsforadditional award information. Declined proposals are ineligible for resubmission until a minimum of one year has passed since their initial submission. This moratorium allows investigators the time required to digest the results of the merit review and revise their proposal accordingly. A proposal that has not been substantially revised will be returned without review asper the NSF Proposal &amp; Award Policies &amp; Procedures Guide (PAPPG).",Synopsis 21,No,9122029.0,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5316,NSF Program Desccription PD-15-1699,,,,,,,,,,
5,298158,Biological Anthropology Program  -  Doctoral Dissertation Research Improvement Grants,18-504,D,G,ST,,47.075,25.0,"*Who May Submit Proposals: Proposals may only be submitted by the following:   - Universities and Colleges - Ph.D. granting universities and colleges accredited in, and having a campus located in, the US acting on behalf of their faculty members. Such organizations also are referred to as academic institutions.   *Who May Serve as PI:  DDRIG proposals must be submitted with a principal investigator (PI; the faculty member serving as the doctoral student&apos;s dissertation advisor) and a co-principal investigator (Co-PI; the doctoral student) from the same U.S. university. The proposal should be submitted through regular, required organizational channels by the PI/dissertation advisor on behalf of the graduate student Co-PI. If appropriate, an additional faculty member may serve as another Co-PI. The doctoral student must be enrolled at a U.S. institution, but need not be a U.S. citizen. At the time of the submission deadline, doctoral students are expected to be at the appropriate stage of their academic career to enable submission of a finalized dissertation proposal, most typically very near, or having advanced to candidacy for the Ph.D. degree.",NSF,National Science Foundation,10272017,7202022.0,2052022,,,800000.0,40.0,"The Biological Anthropology Program supports multifaceted research to advance scientific knowledge of human biology and ecology, including understanding of our evolutionary history and mechanisms that have shaped human and nonhuman primate biological diversity. Supported research focuses on living and fossil forms of both human and nonhuman primates, addressing time scales ranging from the short-term to evolutionary, encompassing multiple levels of analysis (e.g., molecular, organismal, population, ecosystem), conducted in field, laboratory, captive, and computationalresearch environments, and often incorporating interactions between human biology and culture. Areas of inquiry that promote understanding of the evolution, biology, and adaptability of our diverse species include, but are not limited to:genetic/epigenetic/genomic variation and relationship to phenotype;ecology and socioecology; functional anatomy and skeletal biology; andpaleoanthropology and primate paleontology. Multidisciplinary research that integrates biological anthropology with related anthropological fields, such as archaeology, cultural anthropology, and forensic anthropology, also may receive support through the Program. The Program contributes to the integration of education and basic research through support of dissertation projects conducted by doctoral students enrolled in U.S. universities. This solicitation specifically addresses the preparation and evaluation of proposals for such Doctoral Dissertation Research Improvement (DDRI) Grants. Dissertation research projects in all of the subareas of biological anthropology are eligible for support through these grants. These awards are intended to enhance and improve the conduct of dissertation research by doctoral students who are pursuing research in biological anthropology that enhances basic scientific knowledge.",Synopsis 10,No,8202031.0,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf18504,NSF Publication 18-504,,,,,,,,,,
6,298220,Centers of Research Excellence in Science and Technology (CREST) and HBCU Research Infrastructure for Science and Engineering (HBCU-RISE),18-509,D,G,ST,,47.076,25.0,"*Who May Submit Proposals: Proposals may only be submitted by the following:   -&lt;p style=&quot;margin: 0in 0in 0pt;&quot;&gt;&lt;span&gt;Preliminary and invited full &lt;span style=&quot;font-family: &apos;Verdana&apos;,&apos;sans-serif&apos;;&quot;&gt;CREST Center&lt;/span&gt; &lt;/span&gt;proposals may be submitted by minority-serving institutions of higher education in the United States. This denotes institutions that have undergraduate enrollments of 50% or more (based on total student enrollment) of members of minority groups underrepresented among those holding advanced degrees in science and engineering fields: African Americans, Alaska Natives, American Indians, Hispanic Americans, Native Hawaiians, and Native Pacific Islanders. Eligibility as a minority-serving institution may be determined by reference to the Integrated Postsecondary Education Data System (IPEDS) of the US Department of Education National Center for Education Statistics (&lt;a href=&quot;http://nces.ed.gov/ipeds/&quot;&gt;http://nces.ed.gov/ipeds/&lt;/a&gt;). Proposals are also invited from institutions of higher education that primarily serve populations of students with disabilities (&lt;a href=&quot;http://www.nsf.gov/od/broadeningparticipation/nsf_frameworkforaction_0808.pdf&quot;&gt;http://www.nsf.gov/od/broadeningparticipation/nsf_frameworkforaction_0808.pdf&lt;/a&gt;). Support may be provided to partner institutions through subawards.   &lt;p style=&quot;margin: 0in 0in 0pt;&quot;&gt;&lt;span style=&quot;font-family: &apos;Verdana&apos;,&apos;sans-serif&apos;; color: black; font-size: 9pt;&quot;&gt;&lt;/span&gt;   &lt;p class=&quot;MsoNormal&quot; style=&quot;margin: 0in 0in 10pt; line-height: normal;&quot;&gt;CREST partnership supplement proposals are invited from current CREST Center awardees.&lt;span style=&quot;font-size: 9pt; font-family: &apos;Verdana&apos;,&apos;sans-serif&apos;; color: black;&quot;&gt;&lt;span&gt;&lt;/span&gt;&lt;/span&gt;    CREST Postdoctoral Research Fellowship proposals are invited from individuals from active CREST Centers (&lt;a href=&quot;https://www.nsf.gov/cgi-bin/goodbye?http://www.crestweb.org/&quot;&gt;www.crestweb.org&lt;/a&gt;). Onlythree (3) individuals per active CREST Center can submit a CREST-PRF application. Individuals can only submit one proposal per year (maximum 2 proposals per individual). Each candidate must identify one or more CREST Center sponsoring scientist(s) and the host CREST Center institution in the proposal. CREST Center applicants are required to inform the CREST Center Director and/or PIs of their intent to submit a CREST-PRF proposal. CREST Centers should ensure that they do not endorse more than3 CREST-PRF proposals for each competition.    CREST Postdoctoral Research Fellowships are awards to individuals, and applications are submitted directly by applicants to NSF. To be eligible to submit a proposal to the CREST-PRF Program, an individual must, as of the full proposal target date:   &lt;ul&gt;  &lt;li&gt;Be a U.S. citizen, national, or permanent resident;&lt;/li&gt;  &lt;li&gt;Have earned the doctoral degree, or expect to have earned the doctoral degree prior to the required start date of the fellowship;&lt;/li&gt;  &lt;li&gt;Show proof of CREST Center funding as a graduate student for at least one year;&lt;/li&gt;  &lt;li&gt;Not have worked for more than a total of 24 full-time-equivalent months in positions that require the doctoral degree;&lt;/li&gt;  &lt;li&gt;May not have previously been a principal investigator or co-principal investigator of an NSF award (other than a NSF Graduate Research Fellowship);&lt;/li&gt;  &lt;li&gt;Submit a project plan that falls within the purview of the NSF&apos;s CREST Center host institution&amp;rsquo;s research priorities; and&lt;/li&gt;  &lt;li&gt;Not have submitted concurrently the same project to another NSF program.&lt;/li&gt;  &lt;/ul&gt;   The proposal must include the following:   &lt;ol&gt;  &lt;li&gt;A sponsoring CREST scienti",NSF,National Science Foundation,10312017,12022022.0,2182022,5000000.0,,19300000.0,,"The Centers of Research Excellence in Science and Technology (CREST) program provides supportto enhance the research capabilities of minority-serving institutions (MSI) through the establishment of centers that effectively integrate education and research.MSIs of higher education denote institutions that have undergraduate enrollments of 50% or more (based on total student enrollment) of members of minority groups underrepresented among those holding advanced degrees in science and engineering fields: African Americans, Alaska Natives, American Indians, Hispanic Americans, Native Hawaiians, and Native Pacific Islanders. CREST promotes the development of new knowledge, enhancements of the research productivity of individual faculty, and an expanded presence of students historically underrepresented in science, technology, engineering, and mathematics (STEM) disciplines.CREST Postdoctoral Research Fellowship (PRF) awards provide research experience and training for early career scientists at active CREST Centers. HBCU-RISE awards specifically target HBCUs to support the expansion of institutional research capacity as well asthe production of doctoral students, especially those from groups underrepresented in STEM, at those institutions. The CREST programsupports the following types of projects: CREST Center awards provide multi-year support (typically 5-years) for eligible minority-serving institutionsthat demonstrate a strong research and education base, a compelling vision for research infrastructure improvement, and a comprehensive plan with the necessary elements to achieve and sustain national competitiveness in a clearly definedarea of national significance in science or engineering research. Successful Center proposalswill demonstrate a clear vision and synergy with the broad goals of the CREST Program and the Human Resource Development Division with respect to development of a diverse STEM workforce. CREST Centers are expected toprovide leadership in the involvement of groups traditionally underrepresented inSTEM at all levels (faculty, students, and postdoctoral researchers) within the Center. Centers are requiredto use either proven or innovative mechanisms to address issues such as recruitment, retention and mentorship of participants from underrepresented groups. CREST Partnership Supplements support the establishment or strengthening of partnerships and collaborations betweenactive CREST Centers and nationally or internationally recognized research centers including NSF-supported research centers, and private sector research laboratories, K-12 entities including museums and science centers or schools, as appropriate to enable the CREST Centers to advance knowledge and education on a research theme of national significance. CREST Postdoctoral Research Fellowship (PRF) awards recognize beginning CREST Center investigators with significant potential and provide them with research experiences that broaden perspectives, facilitate interdisciplinary interactions and establish them in positions of leadership within the scientific community. Fellows conduct research on topics aligned with the research focus of the host CREST Center. The fellowships are also designed to provide active mentoring to the Fellows by the sponsoring CREST Center scientists who, in turn, will benefit from the incorporation of these talented scientists into their research groups. HBCU Research Infrastructure for Science and Engineering (RISE) awards support the development of research capability at Historically Black Colleges and Universities that offer doctoral degrees in science and engineering disciplines. Supported projects must have a unifying research focus in one of the research areas supported by NSF, a direct connection to the long-term plans of the host department(s), institutional strategic planand mission, and plans for expanding institutional research capacity as well as increasing the production of doctoral students, especially those underrepresented in STEM. SBIR/STTR Phase IIa Diversity Collaboration Supplements provide an opportunity for existing SBIR/STTR Phase II projects to initiate collaborations with minority-serving institutions that have active CREST Centeror HBCU-RISE awards. These supplemental proposals are administered by and co-funded with the NSF Directorate for Engineering Division of Industrial Innovation and Partnerships (ENG/IIP).",Synopsis 10,No,1052025.0,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf18509,NSF Publication 18-509,HBCU-RISE; CREST Partnership Supplements; HBCU-RISE; Preliminary CREST Center; CREST Centers; Preliminary CREST Centers; CREST Postdoctoral Research Fellowship,,,,,,,,,
7,305253,Cultural Anthropology Program Senior Research Awards,18-560,D,G,ST,,47.075,99.0,,NSF,National Science Foundation,5172018,8152022.0,2022022,,,4000000.0,40.0,"The primary objective of the Cultural Anthropology Program is to support fundamental, systematic anthropological research and training to increase understanding of the causes, consequences, and complexities of human social and cultural variability. The Cultural Anthropology Program welcomes proposals from researchers in all sub-fields of cultural anthropology and research at any temporal and spatial scale. Methodologies and approaches employed may include ethnographic field research, surveys, remote sensing, the collection of bio-markers, experimental research inside or outside of laboratory settings, archival research, the analysis of materials collections and extant data bases, mathematical and computational modeling, and other research tools as appropriate for the research proposed. The overarching research goals should be to produce empirically grounded findings that will be generalizable beyond particular case studies and contribute to building a more robust anthropological science of human society and culture. The National Science Foundation&apos;s mandate is to support basic scientific research. &quot;Basic research&quot; in cultural anthropology means theory-generating and theory-testing research that creates new knowledge about human culture and society. Therefore, the Cultural Anthropology Program cannot support research that takes as its primary objective improved clinical practice, applied policy, or other immediate application. While application may be a desirable component of the proposal&apos;s Broader Impacts, a proposal that only proposes to use anthropological methods and approaches to find solutions to social, medical, or other problems and does not specifically propose to make a theory-testing and/or theory-expanding contribution to anthropological science, will be returned without review.",Synopsis 9,No,9142031.0,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf18560,NSF Publication 18-560,,,,,,,,,,
8,306481,"Energy, Power, Control, and Networks",PD-18-7607,D,G,ST,,47.041,99.0,,NSF,National Science Foundation,6222018,,1252022,,,,,"The Energy, Power, Control, andNetworks (EPCN) Program supports innovative research in modeling, optimization, learning, adaptation, and control of networked multi-agent systems, higher-level decision making, and dynamic resource allocation, as well as risk management in the presence of uncertainty, sub-system failures, and stochastic disturbances. EPCN also invests in novel machine learning algorithms and analysis, adaptive dynamic programming, brain-like networked architectures performing real-time learning, and neuromorphic engineering. EPCN&#8217;s goal is to encourage research on emerging technologies and applications including energy, transportation, robotics, and biomedical devices &amp; systems. EPCN also emphasizes electric power systems, including generation, transmission, storage, and integration of renewable energy sources into the grid; power electronics and drives; battery management systems; hybrid and electric vehicles; and understanding of the interplay of power systems with associated regulatory &amp; economic structures and with consumer behavior. Areas managed by Program Directors (please contact Program Directors listed in the EPCN staff directory for areas of interest): Control Systems Distributed Control and Optimization Networked Multi-Agent Systems Stochastic, Hybrid, Nonlinear Systems Dynamic Data-Enabled Learning, Decision and Control Cyber-Physical Control Systems Applications (Biomedical, Transportation, Robotics) Energy and Power Systems Solar, Wind, and Storage Devices Integration with the Grid Monitoring, Protection and Resilient Operation of Grid Power Grid Cybersecurity Market design, Consumer Behavior, Regulatory Policy Microgrids Energy Efficient Buildings and Communities Power Electronics Systems Advanced Power Electronics and Electric Machines Electric and Hybrid Electric Vehicles Energy Harvesting, Storage Devices and Systems Innovative Grid-tied Power Electronic Converters Learning and Adaptive Systems Neural Networks Neuromorphic Engineering Systems Data analytics and Intelligent Systems Machine Learning Algorithms, Analysis and Applications",Synopsis 4,No,,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=505249,NSF Program Desccription PD-18-7607,Proposals accepted anytime,,,,,,,,,
9,45793,Ocean Technology and Interdisciplinary Coordination,PD-98-1680,D,G,ST,,47.05,99.0,,NSF,National Science Foundation,3052009,2152023.0,3032022,,,,,"The Oceanographic Technology and Interdisciplinary Coordination (OTIC) Program supports a broad range of research and technology development activities. Unsolicited proposals are accepted for instrumentation development that has broad applicability to ocean science research projects and that enhance observational, experimental or analytical capabilities of the ocean science research community. Specific announcements for funding opportunities are made for additional projects involving Improvements in Facilities, Communications, and Equipment at Biological Field Stations and Marine Laboratories (FSML) and the National Ocean Partnership Program.",Synopsis 26,No,3172030.0,grantsgovsupport@nsf.gov,"If you have any problems linking to this funding announcement, please contact the email address above.",NSF grants.gov support&lt;br/&gt;grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=12724,NSF Program Desccription PD-98-1680,,,,,,,,,,
